Time,futex:EAGAIN,read:EAGAIN,epoll_pwait:EINTR,access:ENOENT,newfstatat:ENOENT,ioctl:ENOTTY,epoll_ctl:EPERM,futex:ETIMEDOUT,arch_prctl:SUCCESS,brk:SUCCESS,clone:SUCCESS,close:SUCCESS,dup2:SUCCESS,epoll_create1:SUCCESS,epoll_ctl:SUCCESS,epoll_pwait:SUCCESS,fcntl:SUCCESS,fstat:SUCCESS,futex:SUCCESS,getpid:SUCCESS,getrandom:SUCCESS,gettid:SUCCESS,madvise:SUCCESS,mmap:SUCCESS,mprotect:SUCCESS,munmap:SUCCESS,nanosleep:SUCCESS,newfstatat:SUCCESS,openat:SUCCESS,pipe2:SUCCESS,pread64:SUCCESS,prlimit64:SUCCESS,read:SUCCESS,readlinkat:SUCCESS,restart_syscall:SUCCESS,rt_sigaction:SUCCESS,rt_sigprocmask:SUCCESS,sched_getaffinity:SUCCESS,sched_yield:SUCCESS,set_robust_list:SUCCESS,set_tid_address:SUCCESS,sigaltstack:SUCCESS,tgkill:SUCCESS,wait4:SUCCESS,waitid:SUCCESS,write:SUCCESS
2021-03-23 00:09:00,5273,1095,623,3768,1884,2516,8804,2002,628,6286,4895,11940,1884,628,5652,6733,9423,3769,429962,4420,3144,4880,472,36036,14806,6329,72652,1886,9428,1884,5032,628,10940,629,,109389,17190,628,9971,4886,628,9771,3793,628,628,2084
2021-03-23 00:10:00,9059,1823,1041,6312,3156,4208,14722,3139,1052,10521,8233,19988,3156,1052,9468,11336,15783,6312,721731,7547,5252,8195,866,60482,24869,10717,122981,3154,15777,3156,8416,1052,18429,1053,,183069,28878,1052,11250,8213,1052,16433,6496,1052,1052,3541
2021-03-23 00:11:30,2005,398,231,1386,693,924,3234,689,231,2310,1807,4389,693,231,2079,2385,3465,1386,161319,1944,1155,1803,326,13266,5459,2348,26009,693,3465,693,1848,231,3729,231,,40194,6342,231,3536,1801,231,3607,1713,231,231,750
2021-03-23 00:12:00,2981,661,362,2178,1089,1452,5082,952,363,3635,2821,6897,1089,363,3267,3798,5445,2178,251287,2447,1815,2804,205,20583,8543,3707,41301,1089,5445,1089,2904,363,5934,363,,63162,9904,363,3233,2814,363,5633,2084,363,363,1181
2021-03-23 00:13:00,2594,452,273,1662,831,1108,3878,842,277,2770,2163,5263,831,277,2493,2844,4155,1662,191367,1910,1385,2154,204,15877,6537,2794,31934,831,4155,831,2216,277,4284,277,,48198,7589,277,3975,2155,277,4313,1633,277,277,925
2021-03-23 00:14:30,10298,1938,1151,6960,3480,4640,16250,4098,1160,11598,9086,22046,3480,1160,10440,24888,17400,6960,814803,10568,5800,9060,5564,66753,27440,11829,134030,3482,17406,3480,9280,1160,20573,1160,,201840,31877,1160,26706,9067,1160,18143,9408,1160,1160,5290
2021-03-23 00:15:00,1436,294,170,1026,513,684,2394,509,171,1710,1334,3249,513,171,1539,1791,2565,1026,116994,1137,855,1331,128,9784,4035,1733,19629,513,2565,513,1368,171,3162,171,,29754,4684,171,2826,1332,171,2666,966,171,171,570
2021-03-23 00:17:30,9916,1992,1151,6990,3498,4656,16322,3597,1165,11651,9084,22147,3495,1166,10493,12703,17487,6990,804864,8165,5828,9053,1055,66919,27473,11752,134584,3498,17484,3498,9320,1165,21594,1165,,202710,31891,1165,17943,9065,1165,18133,6999,1166,1166,3973
2021-03-23 00:18:00,796,160,91,546,273,364,1274,309,91,910,710,1729,273,91,819,958,1365,546,61013,606,455,707,62,5163,2145,899,10967,273,1365,273,728,91,1438,91,,15834,2491,91,866,707,91,1414,516,91,91,302
2021-03-23 00:19:30,10153,1951,1142,6960,3483,4644,16250,3547,1160,11605,9080,22050,3483,1161,10449,12610,17412,6961,803759,8162,5805,9055,1162,66795,27433,11752,139077,3483,17409,3483,9288,1160,22344,1160,,201895,31861,1160,18922,9072,1160,18138,7002,1161,1161,4006
2021-03-23 00:20:30,6240,1259,728,4380,2193,2920,10226,1821,730,7303,5719,13882,2193,731,6579,7898,10962,4380,504436,4798,3651,5694,640,41878,17272,7430,86191,2191,10955,2193,5840,730,12601,730,,127075,20059,730,11826,5704,730,11417,4068,731,731,2479
2021-03-23 00:21:30,7397,1499,875,5298,2649,3536,12372,2978,883,8830,6900,16778,2649,883,7947,10645,13245,5299,612447,24031,4419,6872,1808,50688,20849,8980,104678,2651,13250,2649,7072,883,15025,883,2,153642,24209,883,43929,6880,883,13765,23149,883,883,3113
2021-03-23 00:22:00,2118,384,226,1362,684,912,3192,663,227,2270,1784,4326,684,228,2052,2443,3417,1363,156355,1553,1140,1778,218,13043,5380,2318,27765,684,3414,684,1824,227,3745,227,,39553,6257,227,2460,1781,227,3560,1326,228,228,786
2021-03-23 00:25:00,8548,1709,994,5970,2985,3976,13928,2761,995,9950,7766,18904,2985,995,8955,10475,14925,5969,685688,6686,4971,7735,771,57038,23487,10078,113310,2985,14924,2985,7952,995,16266,995,,173130,27258,995,11067,7753,995,15509,5693,995,995,3327
2021-03-23 00:26:45,2035,396,231,1386,693,924,3244,658,231,2310,1824,4394,693,231,2079,2499,3465,1386,158022,1560,1158,1820,268,13281,5494,2317,26831,695,3470,693,1848,231,3799,231,,40194,6393,231,2429,1822,231,3644,1329,231,231,795
TOTAL,134956,26827,15458,93348,46704,62276,218020,46943,15558,155622,121669,295778,46695,15568,140110,187866,233493,93358,10751710,165593,77853,121172,21696,893903,367605,157943,1810680,46718,233509,46704,124544,15558,271545,15559,5,2707498,426907,15558,322197,121367,15558,242841,150042,15567,15567,54444
